League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
Chinese Super League,2024-04-30,07:00:00,Shandong Taishan,Nantong Zhiyun F.C,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.15,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33230673,50443279.0,13107045.0,58805.0,1.228234628,1.228234675,0,0
Chinese Super League,2024-04-30,09:00:00,Zhejiang Greentown,Henan Songshan Longmen,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.15,1000.0,1.01,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33230705,23257633.0,50443412.0,58805.0,1.228234446,1.228234491,0,0
Chinese Super League,2024-04-30,09:00:00,Meizhou Hakka,Qingdao Youth Island,1.04,1000.0,1.04,1000.0,1.01,1000.0,1.15,1000.0,1.01,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33230677,11079690.0,40285964.0,58805.0,1.228234536,1.228234581,0,0
Swedish Superettan,2024-04-30,14:00:00,Skovde AIK,Oddevold,2.98,3.3,2.46,2.68,3.45,3.7,1.79,1.93,2.06,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33217069,14112862.0,778918.0,58805.0,1.228025098,1.228025143,0.0,0.0
South African Premier Division,2024-04-30,14:30:00,Richards Bay FC,Amazulu,2.18,3.3,3.1,5.4,2.68,4.6,1.26,1.65,2.52,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33228977,17586408.0,8750556.0,58805.0,1.228205406,1.228205451,0.0,0.0
Portuguese Segunda Liga,2024-04-30,15:45:00,Pacos Ferreira,AVS Futebol SAD,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1000.0,1.01,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33223733,0.0,0.0,0.0,0.0,1.228125873,0.0,0.0
English Championship,2024-04-30,16:00:00,Coventry,Ipswich,4.0,4.2,1.92,1.93,4.1,4.4,2.44,2.76,1.57,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33218229,48043.0,48324.0,58805.0,1.228053336,1.228053346,0.0,0.0
UEFA Champions League,2024-04-30,16:00:00,Bayern Munich,Real Madrid,2.5,2.54,2.98,3.05,3.65,3.7,2.24,2.28,1.78,1.8,1.61,1.67,2.5,2.64,16.5,18.5,13.5,15.5,19.0,22.0,26.0,50.0,12.5,14.0,7.6,8.4,12.0,14.0,24.0,32.0,16.0,18.5,10.5,12.0,13.5,15.5,29.0,40.0,28.0,38.0,20.0,26.0,26.0,36.0,46.0,65.0,14.0,16.0,18.0,20.0,14.5,980.0,33201948,5774350.0,2426.0,58805.0,1.227765782,1.227765721,1.227765781,1.227765792
Argentinian Copa de la Liga Profesional,2024-04-30,20:00:00,Estudiantes,Boca Juniors,2.9,3.6,2.46,2.96,2.86,4.1,1.55,1.73,2.38,2.82,1.97,2.34,1.75,2.04,7.4,980.0,7.0,980.0,5.0,980.0,1.78,1000.0,7.8,980.0,6.0,980.0,4.7,980.0,1.78,1000.0,3.2,980.0,4.8,980.0,1.85,1000.0,1.59,1000.0,3.4,1000.0,1.72,1000.0,8.0,980.0,12.0,1000.0,1.41,1000.0,1.45,1000.0,2.86,1000.0,33214825,194509.0,17304.0,58805.0,1.228071186,1.228071189,1.228071233,1.228071234
Ecuadorian Serie A,2024-04-30,21:00:00,Libertad FC,LDU,4.5,120.0,1.52,2.26,3.0,8.4,1.81,2.22,1.82,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33230064,44232344.0,474678.0,58805.0,1.228224261,1.228224306,0,0
