League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
US United Soccer League,2024-07-14,00:00:00,Sacramento Republic,North Carolina FC,1.91,2.14,1.04,110.0,1.03,950.0,1.27,21.0,1.05,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405195,8582482.0,12713336.0,58805.0,1.230558614,1.230558659,1.230558698,1.230558623,1.01,4.9,1.01,1.98,1.27,21.0,1.05,4.6,1.27,21.0,1.05,4.6,1.28,1.38,1.87,1.95,1.31,1.41,1.230558615,1.230558617,1.230558618,1.230558662
Mexican Liga MX,2024-07-14,00:10:00,Monterrey,Cruz Azul,2.16,2.26,3.6,4.0,3.4,3.7,1.95,2.06,1.94,2.06,1.77,1.95,2.06,2.3,11.5,15.0,11.5,15.5,21.0,28.0,7.2,980.0,8.2,11.0,6.8,8.2,13.0,17.0,6.8,46.0,12.0,15.0,9.0,12.0,15.0,20.0,7.0,980.0,21.0,30.0,18.5,25.0,6.8,980.0,7.4,980.0,5.5,17.5,6.8,44.0,8.0,1000.0,33391591,328949.0,328204.0,58805.0,1.230381796,1.230381806,1.230381795,1.230381805,3.1,3.4,1.42,1.48,9.8,36.0,1.05,1.12,3.6,4.4,1.29,1.38,1.33,1.38,1.79,1.84,1.37,1.42,1.230381787,1.230381799,1.230381800,1.230381810
South Korean K3 League,2024-07-14,04:00:00,Siheung Citizen,Yeoju FC,1.37,1.63,1.01,980.0,1.01,12.0,1.27,1000.0,1.01,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405974,17132383.0,67126612.0,58805.0,1.230567373,1.230567418,1.230567457,1.230567382,1.01,1000.0,1.01,1000.0,1.27,1000.0,1.01,1.12,1.27,1000.0,1.01,4.6,1.04,1.14,1.03,4.6,1.17,1.37,1.230567374,1.230567376,1.230567377,1.230567421
South Korean K3 League,2024-07-14,05:30:00,GH & NP,Pocheon FC,1.09,1000.0,1.09,1000.0,1.09,980.0,1.44,2.6,1.63,3.25,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405988,70179766.0,19825721.0,58805.0,1.230568318,1.230568321,1.230568365,1.230568366,1.01,1000.0,1.01,1000.0,1.27,1000.0,1.01,1.12,1.27,1000.0,1.01,15.0,1.01,110.0,1.01,110.0,1.01,110.0,1.230568367,1.230568328,1.230568319,1.230568320
Japanese J League 3,2024-07-14,06:00:00,Matsumoto,FC Osaka,1.06,980.0,1.07,980.0,2.84,980.0,1.27,980.0,1.05,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405287,7081210.0,9301693.0,58805.0,1.230562265,1.230562354,1.230562431,1.230562296,1.01,1000.0,1.01,1000.0,1.27,21.0,1.05,4.6,1.27,110.0,1.05,4.6,1.05,15.5,1.06,20.0,1.19,1.55,1.230562267,1.230562271,1.230562273,1.230562371
Japanese J League 2,2024-07-14,06:00:00,Blaublitz Akita,Renofa Yamaguchi,2.72,2.94,3.0,3.35,2.96,3.35,1.54,1.63,2.6,2.84,2.1,2.54,1.79,2.12,6.2,8.4,6.8,9.2,14.0,24.0,38.0,70.0,6.4,8.4,5.4,7.0,10.5,18.0,30.0,60.0,12.0,20.0,10.0,16.5,17.0,29.0,40.0,90.0,32.0,60.0,28.0,50.0,40.0,85.0,40.0,230.0,3.3,55.0,3.35,70.0,2.54,1000.0,33399698,5852914.0,4233875.0,58805.0,1.230484641,1.230484686,1.230484725,1.230484650,2.16,2.98,1.51,1.85,2.62,1000.0,1.07,1.16,2.62,2.86,1.54,1.61,1.43,1.5,1.51,1.59,1.45,1.52,1.230484642,1.230484644,1.230484645,1.230484689
Japanese J League 2,2024-07-14,06:00:00,Mito,Yokohama FC,5.6,6.8,1.7,1.79,3.4,4.1,1.77,1.9,2.12,2.3,1.98,2.34,1.74,2.02,9.8,13.0,6.0,8.2,7.6,10.5,13.5,19.0,14.0,19.5,7.2,9.8,8.6,11.5,5.0,22.0,30.0,55.0,19.0,27.0,19.5,28.0,34.0,50.0,40.0,1000.0,40.0,110.0,40.0,120.0,40.0,190.0,6.2,160.0,4.4,14.0,6.6,1000.0,33399700,3455677.0,2319612.0,58805.0,1.230484551,1.230484596,1.230484635,1.230484560,1.01,1000.0,1.01,1000.0,3.05,1000.0,1.03,1.12,3.05,3.85,1.35,1.48,2.26,2.42,1.19,1.21,1.32,1.38,1.230484552,1.230484554,1.230484555,1.230484599
Japanese J League 3,2024-07-14,06:00:00,Kitakyushu,Tegevajaro Miyazaki,1.55,3.7,2.76,1000.0,2.76,980.0,1.27,980.0,1.07,4.6,1.01,1000.0,1.01,1000.0,1.49,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33405288,5026013.0,16139510.0,58805.0,1.230562167,1.230562212,1.230562251,1.230562176,2.62,2.96,1.52,1.61,1.27,990.0,1.07,4.6,1.27,990.0,1.07,4.6,1.01,1.57,1.38,2.86,1.01,1.57,1.230562168,1.230562170,1.230562171,1.230562215
Japanese J League,2024-07-14,06:00:00,Tokyo-V,FC Machida,4.5,4.7,1.98,2.04,3.4,3.55,1.72,1.82,2.22,2.38,2.0,2.26,1.87,2.1,8.8,12.0,6.4,8.6,9.2,12.5,19.0,26.0,11.0,15.0,7.0,8.8,9.0,12.0,21.0,27.0,24.0,36.0,16.5,21.0,19.5,25.0,36.0,55.0,40.0,120.0,40.0,75.0,40.0,90.0,40.0,170.0,6.2,95.0,5.0,20.0,6.6,1000.0,33399702,263080.0,6207339.0,58805.0,1.230484821,1.230484866,1.230484905,1.230484830,2.66,2.94,1.52,1.6,2.92,1000.0,1.01,1.52,2.92,3.4,1.42,1.52,1.96,2.02,1.27,1.29,1.39,1.42,1.230484822,1.230484824,1.230484825,1.230484869
Japanese J League,2024-07-14,06:00:00,Nagoya,Kashiwa,2.9,3.05,2.68,2.8,3.25,3.4,1.71,1.84,2.2,2.42,1.89,2.14,1.94,2.2,8.8,12.0,8.0,11.0,13.5,19.0,30.0,46.0,8.4,11.5,6.2,7.8,10.5,14.0,27.0,38.0,15.0,21.0,11.0,15.0,16.0,22.0,40.0,60.0,38.0,55.0,28.0,40.0,40.0,60.0,40.0,140.0,5.9,40.0,5.8,36.0,7.0,1000.0,33399717,441084.0,441080.0,58805.0,1.230484731,1.230484776,1.230484815,1.230484740,2.68,3.05,1.48,1.59,2.92,1000.0,1.01,1.52,2.92,3.4,1.42,1.52,1.56,1.6,1.48,1.53,1.41,1.45,1.230484732,1.230484734,1.230484735,1.230484779
