League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Friendly Matches,2024-07-10,05:30:00,FC Sellier & Bellot Vlasim,Usti Nad Labem,1.35,980.0,2.38,4.4,4.5,32.0,1.68,55.0,1.07,2.48,1.12,1000.0,1.12,1000.0,1.05,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,1.05,980.0,1.05,980.0,1.03,980.0,1.03,1000.0,2.9,1000.0,1.05,980.0,1.03,980.0,1.03,1000.0,2.9,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,33405273,21285670.0,6081319.0,58805.0,1.230561456,1.230561501,1.23056154,1.230561465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendly Matches,2024-07-10,06:00:00,Podbeskidzie B-B,MFK Karvina,6.4,9.4,1.4,1.55,4.0,7.6,1.5,36.0,1.57,1.82,1.98,2.1,1.92,2.02,1.34,980.0,2.4,980.0,2.42,1000.0,2.88,1000.0,2.28,980.0,2.9,980.0,1.23,980.0,1.06,1000.0,1.38,1000.0,2.98,980.0,1.06,980.0,1.06,1000.0,1.06,1000.0,1.06,1000.0,1.17,1000.0,1.38,1000.0,1.06,1000.0,1.05,980.0,1.38,1000.0,33405300,4135278.0,3358864.0,58805.0,1.230560511,1.230560556,1.230560595,1.23056052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendly Matches,2024-07-10,06:00:00,Austria Vienna,Bohemians 1905,1.75,1.83,4.3,5.2,4.2,4.9,2.46,2.96,1.52,1.68,1.61,1.75,2.32,2.62,18.5,26.0,17.5,29.0,8.0,44.0,9.0,980.0,9.4,17.0,8.6,10.5,15.5,20.0,8.2,980.0,10.0,14.0,8.4,10.5,14.5,18.5,8.2,980.0,16.0,21.0,14.0,16.5,22.0,980.0,8.6,75.0,6.2,12.5,23.0,65.0,9.6,1000.0,33405056,65352.0,2467701.0,58805.0,1.230555678,1.230555723,1.230555762,1.230555687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendly Matches,2024-07-10,06:30:00,Lusitania Futebol Clube,Leixoes,2.12,980.0,1.66,4.6,3.15,5.5,1.1,26.0,1.04,11.0,1.12,1000.0,1.12,1000.0,1.08,980.0,2.48,980.0,1.12,1000.0,1.12,1000.0,2.78,980.0,2.92,980.0,1.09,980.0,1.12,1000.0,1.12,1000.0,2.88,980.0,1.12,980.0,1.12,1000.0,2.94,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,1.12,1000.0,33404653,20570627.0,146050.0,58805.0,1.230551462,1.230551507,1.230551546,1.230551471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendly Matches,2024-07-10,06:30:00,Pacos Ferreira,Oliveirense,1.51,2.0,3.15,110.0,3.05,5.6,1.12,36.0,1.03,11.0,1.12,1000.0,1.12,1000.0,1.09,980.0,1.13,980.0,1.13,1000.0,1.13,1000.0,1.09,980.0,1.13,980.0,1.13,980.0,1.13,1000.0,2.98,1000.0,1.1,980.0,1.13,980.0,1.13,1000.0,1.13,1000.0,1.11,980.0,1.13,1000.0,40.0,1000.0,1.13,1000.0,1.13,1000.0,1.13,1000.0,33404647,48787.0,616886.0,58805.0,1.230551337,1.230551382,1.230551421,1.230551346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korean K League 1,2024-07-10,07:30:00,FC Seoul,Daejeon Citizen,1.84,1.88,4.8,5.1,3.7,3.9,1.91,2.0,2.0,2.1,1.91,1.96,2.04,2.1,12.0,13.5,16.0,17.0,32.0,36.0,75.0,120.0,8.0,8.8,7.8,8.4,17.0,19.0,50.0,65.0,10.0,11.0,9.4,10.5,18.5,23.0,50.0,75.0,18.0,21.0,18.0,21.0,32.0,38.0,70.0,120.0,11.5,13.5,34.0,75.0,15.5,1000.0,33399884,2479786.0,5352230.0,58805.0,1.23048626,1.230486305,1.230486344,1.230486269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korean K League 1,2024-07-10,07:30:00,Jeonbuk Motors,Jeju Utd,2.3,2.34,3.35,3.4,3.65,3.75,2.08,2.2,1.83,1.93,1.72,1.77,2.3,2.4,14.5,16.0,13.0,14.5,20.0,26.0,46.0,60.0,10.0,11.5,7.6,8.4,12.5,14.0,28.0,36.0,14.0,15.5,10.0,11.5,15.0,17.0,27.0,44.0,27.0,34.0,20.0,24.0,29.0,38.0,44.0,85.0,13.5,17.5,24.0,32.0,15.0,980.0,33399855,2224159.0,5342583.0,58805.0,1.23048662,1.230486665,1.230486704,1.230486629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korean K League 1,2024-07-10,07:30:00,Ulsan Hyundai Horang-i,Gwangju FC,1.96,2.02,4.1,4.3,3.75,3.9,2.1,2.16,1.86,1.91,1.78,1.82,2.22,2.28,14.5,15.5,15.0,17.0,27.0,32.0,65.0,980.0,9.6,10.0,8.0,8.6,15.0,17.5,40.0,48.0,11.5,13.0,9.6,10.5,16.0,17.5,46.0,55.0,20.0,23.0,18.0,20.0,30.0,34.0,50.0,90.0,11.0,13.0,38.0,55.0,100.0,980.0,33399862,5352229.0,5348611.0,58805.0,1.23048644,1.230486485,1.230486524,1.230486449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korean K League 1,2024-07-10,07:30:00,Pohang Steelers,Gangwon,1.98,2.04,4.1,4.5,3.65,3.85,1.97,2.08,1.94,2.04,1.76,1.87,2.14,2.32,13.0,15.0,15.0,17.5,24.0,32.0,44.0,95.0,8.8,9.8,7.6,8.6,15.0,18.0,27.0,60.0,10.5,12.0,9.4,11.5,17.0,20.0,29.0,65.0,19.5,23.0,18.0,22.0,32.0,40.0,38.0,110.0,11.0,14.0,28.0,60.0,100.0,980.0,33399859,1363823.0,5348606.0,58805.0,1.23048653,1.230486575,1.230486614,1.230486539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friendly Matches,2024-07-10,08:00:00,Lyngby,Hillerod Fodbold,1.56,1.9,3.25,36.0,3.6,19.5,2.18,110.0,1.18,1.85,1.12,1000.0,1.12,1000.0,1.49,980.0,1.05,980.0,1.05,1000.0,1.05,1000.0,1.05,980.0,2.96,980.0,1.03,980.0,1.03,1000.0,2.84,1000.0,1.05,980.0,1.03,980.0,1.03,1000.0,1.05,1000.0,1.03,980.0,1.03,1000.0,1.05,1000.0,1.03,1000.0,1.03,1000.0,1.05,1000.0,33404982,28218.0,12820384.0,58805.0,1.230556042,1.230556087,1.230556126,1.230556051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
