League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
South Korea K League 1,2024-07-28,07:00:00,25,Pohang Steelers,Sangju Sangmu,2.88,2.2,3.6,2.1,3.1,3.0,1.4,2.75,1.02,8.9,1.28,3.22,1.93,1.77,1.73,2.0,1.36,1.25,1.6,1.91,1.42,1.58,1.46,3.04,1.91,7.5,2.2,1.42,2.65,1.85,1.85,2.29,1.55,3.08,1.3,4.45,1.15
South Korea K League 2,2024-07-28,07:00:00,25,Gyeongnam,Cheonan City,2.42,2.3,4.7,1.8,3.4,4.0,1.36,3.09,1.05,8.5,1.28,3.5,1.85,1.83,1.8,1.95,1.18,1.2,1.95,0.91,1.91,1.65,1.33,2.98,1.35,7.4,4.15,1.25,3.42,1.52,2.45,1.88,1.91,2.39,1.55,3.2,1.28
South Korea K League 2,2024-07-28,07:00:00,25,Jeonnam Dragons,Seoul E-Land,3.1,2.05,3.25,2.45,3.0,2.63,1.4,2.75,1.06,7.2,1.3,3.3,1.95,1.75,1.75,2.0,1.44,1.25,1.5,1.45,1.73,1.56,1.64,3.2,2.11,6.15,2.08,1.35,2.84,1.69,2.13,2.12,1.69,2.79,1.36,3.92,1.19
Sweden Superettan,2024-07-28,08:00:00,16,GIF Sundsvall,Trelleborg,3.1,2.25,3.2,2.45,3.55,2.5,1.3,3.2,1.03,13.0,1.22,4.2,1.67,2.07,1.57,2.3,1.5,1.25,1.52,1.14,1.14,1.44,1.32,2.76,1.98,6.75,1.89,1.15,4.8,1.26,3.4,1.45,2.55,1.72,1.98,2.08,1.65
China Chinese Super League,2024-07-28,08:35:00,20,Qingdao Jonoon,Meizhou Hakka,2.75,2.25,3.6,2.05,3.5,3.3,1.33,3.25,1.02,10.0,1.25,3.75,1.64,2.05,1.62,2.2,1.33,1.3,1.73,1.22,1.0,1.43,1.14,2.57,2.08,6.55,2.12,1.17,4.25,1.34,2.88,1.65,2.18,2.05,1.74,2.6,1.41
China Chinese Super League,2024-07-28,08:35:00,20,Zhejiang FC,Chengdu Better City FC,3.5,2.5,2.5,3.17,3.79,2.05,1.25,3.75,1.02,22.0,1.11,5.5,1.44,2.7,1.44,2.63,1.75,1.2,1.35,2.2,1.7,1.97,1.59,3.56,2.76,6.75,1.68,1.17,4.25,1.34,2.88,1.62,2.23,2.0,1.78,2.47,1.52
Finland Veikkausliiga,2024-07-28,09:00:00,17,Haka,Gnistan,2.67,2.33,3.45,2.23,3.7,2.8,1.29,3.42,1.01,10.0,1.16,4.4,1.61,2.33,1.52,2.43,1.39,1.28,1.67,2.13,0.78,1.44,1.55,2.99,2.07,6.7,2.17,1.16,4.4,1.32,2.98,1.59,2.21,2.0,1.76,2.57,1.44
China Chinese Super League,2024-07-28,09:00:00,20,Henan Jianye,Shandong Luneng,3.25,2.25,3.0,2.45,3.4,2.63,1.33,3.25,1.02,10.0,1.22,3.8,1.6,2.1,1.57,2.25,1.52,1.25,1.47,1.27,1.45,1.58,1.55,3.13,2.02,6.6,2.18,1.14,4.6,1.3,3.08,1.6,2.29,1.96,1.83,2.47,1.52
Sweden Superettan,2024-07-28,10:00:00,16,Landskrona,Gefle,2.1,2.4,5.0,1.5,4.25,5.4,1.29,3.5,1.01,12.0,1.14,4.7,1.66,2.08,1.67,2.1,1.14,1.2,2.38,2.71,0.43,1.56,1.3,2.86,1.36,7.0,3.15,1.2,3.9,1.36,2.8,1.6,2.17,1.95,1.75,2.43,1.49
Sweden Superettan,2024-07-28,10:00:00,16,Brage,Örebro,2.5,2.25,4.33,1.71,3.75,4.2,1.33,3.1,1.03,13.0,1.25,3.75,1.79,1.91,1.7,2.1,1.25,1.22,1.9,2.0,0.71,1.58,1.23,2.81,1.53,6.75,2.55,1.2,4.0,1.34,2.9,1.58,2.2,1.91,1.78,2.38,1.5
