League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Argentina Prim B Nacional,2023-06-19,15:00:00,21,Almirante Brown,Almagro,2.1,3.0,3.3,1.11,6.0,1.53,2.2,2.55,1.45,1.05,1.46,2.36,1.56,1.23,1.36,1.78,2.0,0.67,1.56,1.07,2.63,1.84,6.95,2.46,1.58,1.98,2.52,3.64,0.0
Argentina Prim B Nacional,2023-06-19,15:00:00,18,Atlanta,Estudiantes Caseros,2.3,2.9,3.0,1.09,5.85,1.61,2.34,2.55,1.45,1.05,1.46,2.27,1.6,1.32,1.38,1.6,1.13,1.0,1.51,1.23,2.74,1.63,8.0,2.82,1.41,1.76,2.29,2.98,0.0
Argentina Prim B Nacional,2023-06-19,15:00:00,18,Deportivo Riestra,Quilmes,2.35,3.2,2.6,1.07,6.35,1.5,2.35,2.3,1.55,1.02,1.53,2.11,1.69,1.35,1.36,1.59,1.88,1.0,1.58,1.02,2.6,1.65,7.6,2.81,1.29,1.6,2.0,2.48,3.48
Argentina Prim B Nacional,2023-06-19,16:30:00,18,Chaco For Ever,Deportivo Maipú,2.95,3.05,2.2,1.09,5.8,1.55,2.26,2.35,1.53,1.05,1.47,2.23,1.62,1.38,1.39,1.51,1.63,1.63,1.61,1.39,3.0,1.62,9.2,2.78,1.23,1.5,1.83,2.25,3.04
Argentina Prim B Nacional,2023-06-19,19:00:00,18,Racing Córdoba,Brown de Adrogué,2.5,2.85,2.7,1.08,6.15,1.5,2.5,2.55,1.45,1.03,1.5,2.19,1.64,1.33,1.37,1.6,1.5,1.0,1.63,1.06,2.69,1.59,8.5,2.95,1.56,1.97,2.46,3.48,0.0
Brazil Serie C,2023-06-19,20:00:00,9,CSA,Aparecidense,1.75,3.0,4.75,1.12,5.5,1.5,2.3,2.5,1.47,1.56,2.3,2.3,1.55,1.15,1.25,1.8,1.75,1.0,1.77,1.08,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie C,2023-06-19,20:00:00,9,Botafogo PB,Náutico,2.15,2.8,3.3,1.12,5.5,1.5,2.3,2.59,1.38,1.59,2.25,2.1,1.66,1.25,1.33,1.5,1.67,1.0,1.49,1.64,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile Primera B,2023-06-19,20:00:00,16,Univ. Concepción,Rangers,2.19,3.3,2.78,1.07,7.5,1.33,3.25,1.99,1.77,1.4,2.75,1.8,1.91,1.4,1.33,1.5,1.25,1.14,1.6,1.47,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-19,20:30:00,9,Democrata GV,Nova Iguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.67,1.26,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie A,2023-06-19,21:00:00,15,Técnico Universitario,Delfin SC,1.87,3.25,4.2,1.08,7.25,1.42,2.6,2.25,1.55,1.53,2.37,2.1,1.63,1.17,1.28,1.85,2.0,0.67,1.35,0.9,2.25,1.55,8.7,2.89,1.39,1.8,2.19,2.98,4.8
