League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA USL Championship,2023-07-02,00:00:00,0,Phoenix Rising,Memphis 901,2.1,3.2,3.0,1.05,9.0,1.29,3.3,1.8,1.91,1.4,2.75,1.8,1.91,1.28,1.22,1.6,1.43,2.6,1.66,1.77,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA USL Championship,2023-07-02,00:00:00,0,Sacramento Republic,Rio Grande Valley,1.53,3.7,5.25,1.04,10.0,1.22,3.8,1.8,1.91,1.33,3.25,1.83,1.83,1.11,1.17,2.3,2.44,1.57,1.57,1.25,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Liga MX,2023-07-02,00:10:00,1,Atlas,Cruz Azul,2.05,3.28,3.37,1.05,8.0,1.3,3.2,2.0,1.72,1.4,2.75,1.8,1.95,1.3,1.25,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,1.5,1.88,2.5,3.5
South Korea K League 1,2023-07-02,06:00:00,20,Gwangju,Ulsan,3.25,3.3,2.04,1.05,9.0,1.25,3.6,1.96,1.92,1.36,3.0,1.67,2.1,1.75,1.32,1.2,1.7,2.33,1.79,1.71,3.5,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0
Japan J2 League,2023-07-02,06:00:00,23,Blaublitz Akita,Iwaki,2.05,3.1,3.3,1.05,8.0,1.33,3.0,2.05,1.7,1.42,2.62,1.8,1.91,1.28,1.3,1.62,1.2,0.91,1.29,1.38,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea K League 2,2023-07-02,06:30:00,19,Anyang,Gyeongnam,2.01,3.4,3.05,1.06,8.0,1.3,3.3,2.03,1.77,1.4,2.75,1.8,1.95,1.22,1.25,1.8,1.75,2.0,1.53,1.5,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China Chinese Super League,2023-07-02,06:30:00,14,Shanghai Shenhua,Tianjin Teda,1.81,3.25,3.55,0.0,0.0,0.0,0.0,2.2,1.68,1.44,2.63,2.0,1.75,0.0,0.0,0.0,2.14,1.67,1.52,1.12,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan J1 League,2023-07-02,07:00:00,19,Yokohama F. Marinos,Shonan Bellmare,1.44,4.55,4.6,1.02,10.0,1.13,5.0,1.57,2.22,1.22,4.0,1.53,2.38,1.08,1.17,2.6,2.5,0.67,1.55,1.38,2.93,1.53,8.5,2.88,0.0,0.0,1.85,0.0,0.0
Japan J2 League,2023-07-02,07:00:00,23,Roasso Kumamoto,Tokyo Verdy,2.62,3.3,2.25,1.05,8.0,1.33,3.1,1.87,1.83,1.44,2.63,1.8,1.91,1.47,1.25,1.35,1.17,2.18,1.51,1.42,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea K League 1,2023-07-02,07:00:00,20,Pohang Steelers,Suwon,1.51,3.9,5.4,1.03,9.0,1.2,4.2,1.68,2.05,1.3,3.4,1.8,1.91,1.06,1.2,2.55,2.22,0.63,1.72,1.46,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
