League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Japan J1 League,2023-07-07,07:00:00,20,Albirex Niigata,Vissel Kobe,3.57,3.41,1.9,1.04,12.0,1.27,3.5,1.98,1.9,1.4,2.75,1.75,2.0,1.78,1.29,1.27,1.4,2.13,1.54,1.47,3.01,2.05,8.0,2.0,1.27,1.51,2.1,2.88,4.0
South Korea K League 1,2023-07-07,07:30:00,21,Jeju United,Daegu,2.12,3.11,2.97,1.04,13.0,1.28,3.5,1.83,1.77,1.36,3.0,1.67,2.1,1.34,1.29,1.68,1.33,1.2,1.71,1.17,2.88,1.55,8.0,2.92,1.4,1.73,2.75,4.0,5.5
South Korea K League 1,2023-07-07,07:30:00,21,Gangwon,Gwangju,2.76,3.35,2.38,1.07,8.75,1.42,2.75,2.2,1.6,1.5,2.5,1.83,1.83,1.52,1.33,1.4,0.56,1.22,1.21,1.44,2.65,1.95,7.5,2.1,1.56,1.85,2.55,3.6,5.2
China Chinese Super League,2023-07-07,08:35:00,15,Meizhou Hakka,Chengdu Better City FC,4.75,3.65,1.5,1.01,9.5,1.28,3.5,1.84,1.86,1.36,3.0,2.0,1.75,2.45,1.18,1.08,0.67,2.0,1.22,1.37,2.59,3.75,9.0,1.36,1.36,1.63,2.05,2.7,3.7
China Chinese Super League,2023-07-07,08:35:00,15,Tianjin Teda,Nantong Zhiyun,1.57,3.4,4.55,1.04,7.6,1.4,2.88,2.1,1.61,1.44,2.63,2.05,1.7,1.12,1.2,2.15,1.86,0.29,1.25,1.09,2.34,1.53,8.0,3.0,1.37,1.72,2.2,3.0,4.1
China Chinese Super League,2023-07-07,08:35:00,15,Qingdao Jonoon,Shijiazhuang Ever Bright,2.24,3.36,3.2,1.02,8.7,1.3,3.39,1.89,1.91,1.4,2.75,1.7,2.05,1.4,1.35,1.55,1.17,1.33,1.51,1.15,2.66,1.95,7.5,2.1,1.32,1.65,2.1,2.8,4.0
China Chinese Super League,2023-07-07,08:35:00,15,Hangzhou,Shanghai Shenhua,2.31,3.15,2.51,1.03,8.0,1.35,3.1,2.05,1.71,1.44,2.63,1.8,1.95,1.32,1.35,1.63,1.5,2.17,1.4,1.38,2.78,1.83,7.5,2.3,1.35,1.63,2.1,2.8,4.0
China Chinese Super League,2023-07-07,08:35:00,15,Henan Jianye,Shandong Luneng,5.12,3.73,1.6,1.01,9.7,1.28,3.6,1.88,1.84,1.36,3.0,1.95,1.8,2.35,1.18,1.1,1.43,1.0,1.14,1.78,2.92,3.6,8.5,1.4,1.46,1.83,2.33,3.1,4.5
Estonia Meistriliiga,2023-07-07,13:00:00,20,Paide,Tallinna FC Flora,4.95,3.65,1.44,1.01,9.9,1.23,3.65,1.68,1.84,1.34,2.99,1.8,2.01,2.0,1.23,1.17,0.9,2.6,1.64,2.04,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden Superettan,2023-07-07,14:00:00,13,Örebro,Öster,2.88,3.3,2.38,1.06,11.0,1.28,3.75,1.81,1.95,1.4,2.75,1.75,2.0,1.67,1.33,1.32,1.5,1.67,1.61,1.76,3.37,2.41,8.5,1.75,1.17,1.32,1.58,2.0,2.6
