League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
China Chinese Super League,2023-06-08,08:35:00,12,Changchun Yatai,Shenzhen,1.33,4.4,8.0,1.04,14.75,1.25,4.02,1.67,2.1,1.32,3.32,1.86,1.9,1.11,1.2,2.64,1.4,0.25,1.5,0.95,2.45,1.45,8.5,3.24,1.36,1.7,2.17,2.9,4.1
China Chinese Super League,2023-06-08,08:35:00,12,Chengdu Better City FC,Tianjin Teda,1.54,3.88,5.63,1.06,11.25,1.33,3.35,1.99,1.8,1.4,2.7,2.0,1.72,1.17,1.25,2.3,2.33,1.8,1.73,1.21,2.94,1.4,8.5,3.5,1.34,1.85,2.12,2.8,3.8
China Chinese Super League,2023-06-08,08:35:00,12,Qingdao Jonoon,Shanghai Shenhua,3.7,3.0,1.95,1.06,8.0,1.3,3.26,2.2,1.6,1.43,2.55,1.8,1.96,1.7,1.32,1.3,1.4,2.0,1.41,1.31,2.72,2.5,8.0,1.73,1.31,1.58,2.01,2.62,3.56
Austria Bundesliga,2023-06-08,12:00:00,0,Austria Lustenau,Austria Wien,3.0,3.5,2.2,0.0,0.0,0.0,0.0,1.95,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.34,0.99,1.15,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-06-08,12:15:00,11,SJK,VPS,1.38,4.3,6.4,1.05,9.0,1.29,3.5,1.78,1.92,1.36,3.0,2.0,1.73,1.08,1.2,2.7,2.6,0.25,1.71,1.32,3.03,1.14,12.0,7.0,1.14,1.29,1.53,1.91,2.44
Tunisia Ligue 1,2023-06-08,12:30:00,10,CS Sfaxien,Ben Guerdane,1.72,2.9,4.27,1.07,6.5,1.56,2.28,2.6,1.36,1.57,2.25,2.55,1.49,1.08,1.25,2.25,1.13,1.78,1.48,1.23,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-06-08,13:00:00,31,Ismaily SC,El Geish,2.6,2.7,3.2,1.12,5.5,1.51,2.47,2.56,1.45,1.56,2.2,2.1,1.7,1.28,1.36,1.42,1.21,0.67,1.28,1.32,2.6,1.8,8.5,2.31,1.33,1.69,2.11,2.75,3.84
Netherlands Eredivisie,2023-06-08,15:00:00,0,Sparta Rotterdam,Twente,3.35,3.5,1.89,1.04,9.5,1.24,3.92,1.7,2.05,1.36,3.2,1.67,2.25,1.91,1.31,1.27,1.72,1.94,1.61,1.83,3.44,2.75,8.0,1.6,1.19,1.37,1.65,2.05,2.63
Egypt Egyptian Premier League,2023-06-08,15:30:00,31,Aswan FC,Al Mokawloon,3.5,2.9,2.3,1.08,6.1,1.45,2.6,2.39,1.51,1.58,2.29,2.04,1.74,1.5,1.32,1.25,1.13,1.33,1.39,1.15,2.54,2.01,8.7,2.03,1.27,1.55,1.94,2.4,3.34
Italy Serie B,2023-06-08,15:30:00,0,Cagliari,Bari 1908,1.79,3.05,4.45,1.08,9.1,1.39,3.03,2.1,1.67,1.57,2.49,2.05,1.73,1.19,1.29,2.0,1.63,1.7,1.75,1.25,3.0,1.42,9.8,3.56,1.23,1.43,1.83,2.3,3.2
Brazil Serie B,2023-06-08,16:00:00,11,Criciúma,Juventude,2.04,3.1,3.8,1.08,8.65,1.41,2.71,2.3,1.53,1.53,2.38,2.1,1.67,1.22,1.32,1.88,2.5,1.2,1.88,1.54,3.42,1.6,7.0,3.0,1.17,1.26,1.49,1.95,2.4
Brazil Serie D,2023-06-08,16:00:00,6,Caucaia,Maranhão,2.41,2.81,2.64,0.0,0.0,0.0,0.0,2.15,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.5,1.93,2.15,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain Segunda División,2023-06-08,16:00:00,0,Deportivo Alavés,SD Eibar,2.13,2.97,3.25,1.11,6.5,1.52,2.35,2.3,1.53,1.58,2.2,2.2,1.58,1.29,1.36,1.63,1.67,1.67,1.65,1.34,2.99,1.55,8.0,2.92,1.32,1.6,2.05,2.8,4.0
Brazil Serie C,2023-06-08,16:30:00,7,Remo,América RN,1.73,3.1,4.8,1.11,6.0,1.44,2.4,2.4,1.5,1.56,2.3,2.3,1.59,1.14,1.33,2.0,1.0,0.33,2.01,1.9,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-08,18:00:00,6,São Francisco,Trem,2.75,3.3,2.25,0.0,0.0,0.0,0.0,2.08,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.14,1.47,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie C,2023-06-08,18:30:00,7,Floresta,São Bernardo,2.8,2.87,2.4,1.1,8.05,1.45,2.68,2.3,1.5,1.5,2.4,1.95,1.75,1.5,1.35,1.38,1.33,2.0,1.65,1.61,3.26,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0
Brazil Serie C,2023-06-08,19:00:00,7,Aparecidense,Brusque,2.45,2.8,2.87,1.1,6.5,1.5,2.37,2.3,1.55,1.44,2.62,1.95,1.77,1.35,1.35,1.5,1.0,0.5,1.78,1.11,2.89,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0
Egypt Egyptian Premier League,2023-06-08,19:00:00,31,Al Ahly,Zamalek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,1.33,1.77,1.63,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South America Copa Libertadores,2023-06-08,19:00:00,5,Metropolitanos,Independiente Medellín,4.65,3.61,1.61,1.05,10.5,1.32,3.35,1.94,1.76,1.4,2.75,1.91,1.91,2.15,1.28,1.2,0.0,1.88,1.17,1.34,2.51,3.07,8.5,1.51,1.27,1.5,1.98,2.5,3.5
Brazil Serie D,2023-06-08,19:00:00,6,Jacuipense,Cruzeiro Arapiraca,1.75,3.12,4.14,0.0,0.0,0.0,0.0,2.25,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.0,1.54,1.4,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil Serie D,2023-06-08,19:00:00,6,Princesa Solimões,Humaitá,1.73,3.5,4.0,0.0,0.0,0.0,0.0,2.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.21,1.55,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
