League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Bulgaria First League,2023-11-07,10:00:00,16,Cherno More,Arda,2.6,2.1,4.75,1.91,3.2,4.33,1.44,2.63,1.07,7.5,1.36,3.0,2.1,1.67,1.91,1.8,1.2,1.3,1.91,2.71,1.43,1.9,1.45,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bulgaria First League,2023-11-07,12:30:00,16,CSKA 1948 Sofia,Levski Sofia,3.75,1.95,3.4,2.6,3.18,2.76,1.53,2.38,1.1,6.5,1.5,2.5,2.37,1.53,2.0,1.73,1.62,1.38,1.33,2.0,1.29,1.74,1.78,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland Premiership,2023-11-07,16:45:00,9,St. Johnstone,Motherwell,3.6,2.05,3.25,2.7,3.2,2.63,1.44,2.63,1.07,9.5,1.4,2.95,2.11,1.74,1.95,1.8,1.5,1.32,1.42,1.0,0.8,0.99,1.1,2.09,2.0,8.0,2.05,1.17,4.25,1.26,3.4,1.47,2.4,1.95,1.85,2.37,1.49
England EFL League One,2023-11-07,16:45:00,13,Wigan Athletic,Peterborough United,4.0,2.2,2.75,3.2,3.6,2.1,1.4,2.75,1.05,10.0,1.3,3.55,1.93,1.93,1.75,2.0,1.7,1.22,1.33,1.71,1.75,1.25,1.59,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England EFL League One,2023-11-07,16:45:00,7,Shrewsbury Town,Bolton Wanderers,4.0,2.2,2.75,4.45,3.64,1.79,1.4,2.83,1.05,11.5,1.28,3.3,1.95,1.75,1.8,1.96,1.83,1.29,1.26,1.86,2.17,1.27,1.5,2.77,2.38,9.5,1.76,0.0,0.0,1.29,3.18,1.6,2.33,1.93,1.87,2.4,1.56
England EFL League Two,2023-11-07,16:45:00,1,Colchester United,Swindon Town,3.2,2.05,3.6,2.58,3.75,2.45,1.44,2.63,1.06,8.5,1.38,3.0,1.5,2.4,1.83,1.83,1.42,1.28,1.57,1.0,0.88,1.64,1.44,3.08,1.82,8.0,2.39,1.18,4.2,1.35,2.8,1.63,2.05,2.1,1.62,2.8,1.36
England EFL League One,2023-11-07,17:00:00,7,Reading,Bristol Rovers,3.4,2.25,3.0,3.0,3.3,2.2,1.33,3.25,1.01,10.25,1.22,3.65,1.93,1.93,1.62,2.2,1.55,1.29,1.44,1.43,1.0,1.59,1.38,2.97,1.98,9.5,2.07,1.21,3.6,1.22,3.65,1.41,2.69,1.76,2.05,2.16,1.68
England Championship,2023-11-07,17:00:00,12,Rotherham United,Ipswich Town,5.5,2.5,2.0,6.5,4.5,1.44,1.29,3.5,1.03,15.0,1.19,4.75,1.75,2.0,1.73,2.0,2.6,1.22,1.12,1.29,2.43,1.16,1.48,2.64,4.07,9.5,1.34,1.29,3.4,1.34,2.87,1.61,2.1,2.05,1.65,2.75,1.37
Chile Primera División,2023-11-07,18:00:00,7,Magallanes,Colo-Colo,4.0,2.2,2.75,3.87,3.62,1.91,1.4,2.75,1.05,11.0,1.33,3.3,1.88,1.88,1.73,2.0,1.78,1.29,1.27,1.25,1.25,1.44,1.34,2.78,2.75,5.75,1.58,1.29,3.4,1.53,2.4,1.98,1.83,2.55,1.48,3.5,1.27
Paraguay Division Profesional,2023-11-07,18:00:00,19,Guaireña,Sportivo Ameliano,0.0,0.0,0.0,2.5,3.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.73,2.0,0.0,0.0,0.0,0.0,0.0,0.85,1.35,1.06,1.39,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
