League,Date,Time,Rodada,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre
Bulgaria First League,2023-09-28,09:30:00,11,Etar,OFK Pirin,1.87,3.25,4.2,1.05,7.1,1.42,2.7,2.3,1.57,1.53,2.38,2.1,1.67,1.17,1.28,1.85,0.25,0.75,1.25,0.79,2.04
Egypt Egyptian Premier League,2023-09-28,10:00:00,2,Al Masry,Pharco,1.95,3.2,4.0,0.0,0.0,0.0,0.0,2.3,1.57,0.0,0.0,2.0,1.73,1.24,1.32,1.83,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-09-28,11:30:00,9,Čukarički,Mladost Lučani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.71,0.89,2.6
Greece Super League,2023-09-28,11:30:00,6,Panserraikos,PAS Giannina,2.38,3.05,3.05,1.05,7.3,1.38,2.71,2.26,1.58,1.5,2.5,1.95,1.8,1.36,1.3,1.6,2.0,1.0,1.59,1.03,2.62
Bulgaria First League,2023-09-28,12:00:00,11,Levski Krumovgrad,Arda,3.2,3.1,2.25,1.05,7.2,1.42,2.75,2.25,1.6,1.5,2.5,2.0,1.73,1.53,1.3,1.28,2.0,1.5,1.34,1.63,2.97
Slovenia PrvaLiga,2023-09-28,12:30:00,10,Maribor,Radomlje,1.22,5.5,13.0,1.02,13.0,1.13,4.8,1.47,2.55,1.23,3.9,1.83,1.87,1.07,1.11,2.7,1.75,1.0,1.61,1.27,2.88
Egypt Egyptian Premier League,2023-09-28,13:00:00,2,Ismaily SC,Al Ittihad,2.4,3.1,2.95,0.0,0.0,0.0,0.0,2.1,1.68,0.0,0.0,1.83,1.83,1.32,1.29,1.45,0.0,0.0,0.0,0.0,0.0
Iceland Úrvalsdeild,2023-09-28,13:15:00,3,KA,ÍBV,2.0,3.75,3.2,1.03,9.0,1.16,4.89,1.63,2.2,1.27,3.56,1.49,2.54,1.33,1.26,1.76,1.83,0.5,1.51,1.39,2.9
Italy Serie A,2023-09-28,13:30:00,6,Monza,Bologna,2.42,3.45,2.85,1.05,10.0,1.29,3.55,1.96,1.85,1.4,2.75,1.75,2.0,1.42,1.34,1.57,2.0,1.0,2.12,1.16,3.28
Serbia SuperLiga,2023-09-28,13:30:00,9,Voždovac,Vojvodina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.67,1.57,3.24
Belgium Pro League,2023-09-28,13:30:00,5,RWDM,Union Saint-Gilloise,4.5,4.0,1.7,1.02,17.0,1.2,4.5,1.62,2.25,1.28,3.4,1.63,2.25,2.2,1.18,1.2,2.0,2.0,1.48,1.79,3.27
Italy Serie A,2023-09-28,13:30:00,6,Frosinone,Fiorentina,4.25,3.55,1.85,1.04,13.0,1.28,3.75,1.85,1.96,1.36,3.0,1.67,2.1,1.87,1.28,1.29,2.0,2.0,1.22,1.03,2.25
Spain La Liga,2023-09-28,14:00:00,7,Celta de Vigo,Deportivo Alavés,2.0,3.3,4.2,1.09,8.0,1.5,2.5,2.35,1.6,1.5,2.5,2.2,1.62,1.15,1.3,2.1,0.0,0.0,1.36,1.13,2.49
Spain La Liga,2023-09-28,14:00:00,7,Granada CF,Real Betis,3.3,3.5,2.2,1.05,11.0,1.32,3.4,2.0,1.8,1.4,2.75,1.7,2.05,1.53,1.31,1.41,1.0,1.0,1.39,1.16,2.55
Sweden Superettan,2023-09-28,14:00:00,24,GIF Sundsvall,Gefle,1.9,3.75,3.75,1.04,13.0,1.23,4.25,1.75,2.05,1.3,3.2,1.62,2.23,1.28,1.29,1.82,1.36,0.82,1.49,0.9,2.39
Turkey Süper Lig,2023-09-28,14:00:00,3,Fenerbahçe,İstanbul Başakşehir,1.6,4.1,5.2,1.04,15.0,1.22,4.12,1.6,2.27,1.36,3.4,1.85,1.95,1.14,1.22,2.8,3.0,1.5,2.09,1.57,3.66
Sweden Superettan,2023-09-28,14:00:00,24,Örebro,Utsikten,2.4,3.4,2.85,1.05,11.0,1.3,3.5,1.9,1.87,1.37,2.85,1.7,2.1,1.42,1.25,1.57,1.58,1.82,1.77,1.44,3.21
Sweden Superettan,2023-09-28,14:00:00,24,Örgryte,GAIS,3.3,3.4,2.15,1.04,12.0,1.25,3.75,1.75,2.05,1.35,2.95,1.68,2.15,1.75,1.25,1.33,1.0,1.73,1.83,1.93,3.76
Sweden Superettan,2023-09-28,14:00:00,24,Trelleborg,Jönköpings Södra,2.1,3.5,3.4,1.04,14.0,1.21,4.4,1.7,2.1,1.29,3.25,1.55,2.38,1.3,1.3,1.74,1.45,0.73,1.34,1.13,2.47
Greece Super League,2023-09-28,14:30:00,6,Asteras Tripolis,Panathinaikos,5.45,3.55,1.65,1.02,8.6,1.3,3.08,2.02,1.72,1.4,2.75,1.95,1.8,2.1,1.22,1.18,2.0,3.0,1.53,1.65,3.18
Bulgaria First League,2023-09-28,14:30:00,11,CSKA Sofia,Lokomotiv Sofia 1929,1.3,5.0,9.0,1.04,9.5,1.25,3.75,1.75,2.0,1.33,3.25,2.38,1.53,1.03,1.1,3.4,2.0,0.75,1.65,1.01,2.66
Poland Ekstraklasa,2023-09-28,15:00:00,6,Lech Poznań,Raków Częstochowa,2.55,3.2,2.75,1.07,8.5,1.35,3.25,2.05,1.72,1.42,2.65,1.8,1.95,1.3,1.28,1.57,2.33,1.5,1.81,1.27,3.08
Netherlands Eredivisie,2023-09-28,15:00:00,3,AZ,Heracles,1.17,7.3,16.5,1.01,28.5,1.12,6.4,1.36,3.04,1.2,4.1,1.72,2.0,1.08,1.13,3.6,3.0,0.5,1.85,1.09,2.94
Greece Super League,2023-09-28,15:00:00,6,AEK Athens,Atromitos,1.18,6.3,14.0,1.01,16.5,1.17,4.2,1.55,2.32,1.3,3.4,2.5,1.5,1.02,1.08,4.5,1.0,0.33,2.13,1.14,3.27
Slovenia PrvaLiga,2023-09-28,15:15:00,10,Olimpija,Koper,1.72,4.0,4.0,1.04,10.0,1.22,4.0,1.68,2.1,1.3,3.4,1.67,2.1,1.2,1.29,1.95,2.25,3.0,2.13,1.65,3.78
Switzerland Super League,2023-09-28,15:30:00,8,Stade Lausanne-Ouchy,Yverdon Sport,1.87,3.75,3.75,1.03,12.0,1.2,4.2,1.62,2.2,1.31,3.2,1.57,2.25,1.29,1.26,1.8,1.0,1.0,1.34,1.0,2.34
Switzerland Super League,2023-09-28,15:30:00,8,Basel,Luzern,2.4,3.5,2.7,1.04,11.0,1.17,4.75,1.65,2.15,1.27,3.45,1.47,2.55,1.47,1.22,1.55,1.33,1.33,1.87,1.21,3.08
Belgium Pro League,2023-09-28,15:45:00,5,Club Brugge,KRC Genk,2.1,3.5,3.4,1.03,11.0,1.2,4.33,1.72,2.1,1.29,3.25,1.53,2.42,1.32,1.26,1.78,2.33,3.0,2.24,1.71,3.95
Italy Serie A,2023-09-28,15:45:00,6,Genoa,Roma,3.7,3.35,2.08,1.08,8.5,1.44,2.8,2.2,1.68,1.5,2.5,2.0,1.75,1.63,1.34,1.31,0.5,0.5,0.9,1.76,2.66
Portugal Liga NOS,2023-09-28,16:15:00,7,Estrela Amadora,Sporting Braga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.31,1.44,2.75
Iceland Úrvalsdeild,2023-09-28,16:15:00,3,Stjarnan,KR,1.95,3.85,2.9,1.02,13.0,1.15,4.75,1.45,2.6,1.25,3.75,1.44,2.65,1.25,1.2,1.7,2.27,1.17,1.69,1.89,3.58
Iceland Úrvalsdeild,2023-09-28,16:15:00,3,Víkingur Reykjavík,FH,1.59,3.9,4.35,1.01,11.0,1.12,5.0,1.5,2.5,1.25,3.72,1.52,2.43,1.2,1.22,2.17,2.58,1.25,1.91,1.46,3.37
Iceland Úrvalsdeild,2023-09-28,16:15:00,3,Fram,Keflavík,1.95,3.75,3.3,1.01,11.0,1.11,5.15,1.6,2.25,1.25,3.72,1.47,2.57,1.26,1.23,1.97,1.55,0.5,1.5,1.15,2.65
Iceland Úrvalsdeild,2023-09-28,16:15:00,3,Valur,Breidablik,2.14,3.85,2.55,1.02,13.0,1.15,4.75,1.47,2.55,1.25,3.75,1.42,2.7,1.4,1.2,1.53,2.17,1.64,1.69,1.61,3.3
Iceland Úrvalsdeild,2023-09-28,16:15:00,3,HK,Fylkir,2.15,4.0,2.8,1.02,13.0,1.14,5.0,1.44,2.65,1.25,3.75,1.4,2.85,1.38,1.2,1.53,1.25,0.82,1.41,1.42,2.83
Spain La Liga,2023-09-28,16:30:00,7,CA Osasuna,Atlético Madrid,3.75,3.6,2.0,1.06,10.0,1.36,3.2,1.88,1.92,1.44,2.63,1.91,1.91,1.63,1.3,1.35,0.33,1.33,1.47,1.3,2.77
Brazil Serie B,2023-09-28,19:00:00,30,Mirassol,CRB,1.9,3.1,4.5,1.1,7.0,1.5,2.35,2.65,1.44,1.57,2.25,2.3,1.53,1.18,1.25,1.95,1.79,1.14,1.63,1.24,2.87
