League,Date,Time,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Japan J2 League,2023-09-27,07:00:00,38,Tokushima Vortis,Roasso Kumamoto,2.55,3.3,2.63,1.05,9.25,1.28,3.5,1.93,1.93,1.36,3.0,1.7,2.0,1.47,1.3,1.49,1.22,1.29,1.16,1.54,2.7,2.25,7.0,1.95,1.33,1.57,1.9,2.38,3.0
Japan J2 League,2023-09-27,07:00:00,31,ThespaKusatsu Gunma,Zweigen Kanazawa,2.62,3.6,2.39,1.06,8.0,1.3,3.3,1.84,2.02,1.43,2.65,1.72,2.05,1.42,1.28,1.4,1.82,0.61,1.05,1.25,2.3,2.05,5.5,2.0,1.3,1.51,1.83,2.46,3.35
Bulgaria First League,2023-09-27,09:30:00,11,Hebar 1918,Botev Vratsa,1.95,3.3,4.0,1.05,7.1,1.42,2.61,2.35,1.57,1.5,2.5,2.1,1.67,1.2,1.25,1.72,1.4,0.6,1.53,1.08,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2023-09-27,10:00:00,10,Rogaška,Bravo,3.2,3.12,2.1,1.06,8.0,1.3,3.3,1.89,1.81,1.39,2.8,1.72,2.05,1.57,1.25,1.3,0.67,1.25,1.6,1.53,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece Super League,2023-09-27,10:00:00,6,Panaitolikos,OFI,2.75,3.1,2.63,1.08,8.5,1.4,2.95,2.22,1.57,1.5,2.5,1.91,1.91,1.47,1.3,1.47,0.5,0.5,1.45,1.68,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-09-27,10:00:00,2,ENPPI,El Geish,2.68,3.02,2.81,1.14,5.71,1.53,2.35,2.8,1.4,0.0,0.0,2.14,1.67,1.41,1.36,1.44,0.0,0.0,0.0,0.0,0.0,1.89,8.2,2.2,1.49,1.81,2.28,0.0,0.0
Estonia Meistriliiga,2023-09-27,11:00:00,29,Tallinna Kalev,Paide,5.2,4.2,1.54,1.03,9.55,1.19,4.13,1.6,2.3,1.29,3.25,1.72,2.05,2.3,1.17,1.11,0.77,1.46,1.6,1.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece Super League,2023-09-27,12:00:00,6,Kifisia,Lamia,2.63,3.1,2.75,1.08,8.0,1.42,2.9,2.22,1.57,1.5,2.5,1.95,1.8,1.42,1.3,1.52,2.0,0.33,1.6,1.19,2.79,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0
Bulgaria First League,2023-09-27,12:00:00,11,Slavia Sofia,Levski Sofia,4.2,3.3,1.85,1.04,7.4,1.4,2.8,2.25,1.6,1.5,2.5,2.1,1.67,1.9,1.25,1.16,0.0,1.33,1.44,1.97,3.41,2.96,9.1,1.55,1.32,1.65,2.05,2.72,3.65
Serbia SuperLiga,2023-09-27,12:00:00,9,Novi Pazar,Spartak Subotica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,1.5,1.36,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland Veikkausliiga,2023-09-27,12:00:00,3,Ilves,Mariehamn,1.83,3.2,4.2,1.06,8.0,1.33,3.25,2.15,1.57,1.38,2.91,1.82,1.94,1.21,1.27,1.99,1.0,0.75,1.32,1.07,2.39,1.41,9.0,3.49,1.26,1.5,1.93,2.39,3.2
Finland Veikkausliiga,2023-09-27,12:00:00,3,HJK,Honka,1.96,3.18,4.43,1.1,6.5,1.4,2.75,2.24,1.58,1.5,2.49,2.05,1.73,1.24,1.33,1.83,2.25,1.5,1.38,1.3,2.68,1.51,8.5,3.16,1.28,1.53,2.0,2.49,3.34
Serbia SuperLiga,2023-09-27,12:00:00,9,Javor Ivanjica,IMT Novi Beograd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,1.13,1.46,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2023-09-27,12:30:00,10,Celje,Aluminij,1.18,5.85,11.0,1.02,13.0,1.14,4.65,1.55,2.3,1.24,3.8,1.81,1.89,1.06,1.14,3.13,3.0,0.75,1.84,1.32,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-09-27,13:00:00,2,Ceramica Cleopatra,Al Ahly,4.62,3.37,1.83,0.0,0.0,1.31,3.32,2.02,1.8,0.0,0.0,1.9,1.86,1.78,1.26,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-09-27,13:00:00,2,El Gounah,Masr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia Super Liga,2023-09-27,13:00:00,5,Ružomberok,Slovan Bratislava,3.6,3.5,1.85,1.02,10.0,1.25,3.6,1.78,2.03,1.36,2.9,1.66,2.15,1.66,1.22,1.25,2.33,1.33,1.21,1.73,2.94,1.53,7.0,3.25,1.29,1.48,1.73,2.1,2.7
Norway First Division,2023-09-27,13:00:00,17,Hødd,Sandnes Ulf,2.3,3.45,2.75,1.04,10.0,1.22,4.0,1.48,2.36,1.33,3.25,1.53,2.38,1.44,1.29,1.5,1.27,1.36,1.21,1.28,2.49,1.74,6.0,2.3,1.2,1.38,1.71,2.1,2.6
Estonia Meistriliiga,2023-09-27,13:00:00,29,Vaprus,Trans,2.62,3.22,2.58,1.03,9.15,1.19,4.18,1.65,2.2,1.3,3.2,1.52,2.45,1.4,1.29,1.44,1.0,1.14,1.1,1.34,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia Meistriliiga,2023-09-27,13:00:00,29,Tammeka,Tallinna FC Flora,11.75,5.4,1.23,1.01,23.0,1.12,5.5,1.36,3.1,1.22,3.75,1.91,1.85,3.5,1.09,0.0,1.0,2.23,1.44,2.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie A,2023-09-27,13:30:00,6,Empoli,Salernitana,2.1,3.4,3.4,1.05,11.0,1.32,3.4,1.83,1.87,1.4,2.75,1.7,2.05,1.35,1.28,1.7,0.0,0.5,0.87,0.97,1.84,2.12,7.5,1.94,1.22,1.43,1.74,2.18,2.8
Italy Serie A,2023-09-27,13:30:00,6,Cagliari,AC Milan,5.9,4.3,1.55,1.04,13.75,1.25,3.98,1.68,2.2,1.33,3.25,1.8,1.95,2.45,1.2,1.13,0.5,2.0,1.0,1.09,2.09,1.95,7.5,2.12,1.22,1.42,1.73,2.16,2.8
Italy Serie A,2023-09-27,13:30:00,6,Hellas Verona,Atalanta,3.95,3.95,1.82,1.04,13.0,1.26,4.0,1.7,2.15,1.36,3.0,1.8,1.95,2.15,1.22,1.2,2.0,1.0,0.8,1.69,2.49,2.14,7.0,1.95,1.35,1.64,2.07,2.65,3.6
Netherlands Eredivisie,2023-09-27,13:45:00,3,PSV,Go Ahead Eagles,1.12,9.0,26.0,1.02,29.0,1.09,6.83,1.43,2.75,1.2,4.5,1.98,1.8,1.0,1.05,5.5,3.0,0.5,2.39,1.09,3.48,1.3,9.5,4.5,1.18,1.35,1.62,2.0,2.5
Sweden Superettan,2023-09-27,14:00:00,24,Östersunds FK,Brage,2.15,3.5,3.25,1.05,11.75,1.29,3.63,1.95,1.85,1.38,2.85,1.72,2.05,1.35,1.32,1.65,1.36,0.55,1.65,1.5,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2023-09-27,14:00:00,7,Athletic Club Bilbao,Getafe CF,1.78,3.4,5.5,1.08,8.5,1.42,2.9,2.45,1.55,1.5,2.5,2.38,1.53,1.11,1.22,2.4,2.0,0.0,1.66,1.12,2.78,1.25,10.0,5.25,1.36,1.65,2.07,2.65,3.5
Sweden Superettan,2023-09-27,14:00:00,24,Skövde AIK,Landskrona,2.8,3.5,2.4,0.0,0.0,0.0,0.0,1.75,2.05,1.33,3.25,1.57,2.25,0.0,0.0,0.0,1.36,1.18,1.48,1.44,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden Superettan,2023-09-27,14:00:00,24,Öster,Helsingborg,1.5,4.5,6.0,1.03,17.0,1.18,5.0,1.57,2.35,1.25,3.6,1.7,2.08,1.12,1.2,2.6,1.73,0.91,1.68,1.29,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sweden Superettan,2023-09-27,14:00:00,24,AFC Eskilstuna,Västerås SK,3.8,3.4,1.85,1.05,9.0,1.29,3.5,1.75,1.87,1.36,3.0,1.73,2.0,1.82,1.3,1.27,1.45,1.92,1.66,1.62,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain La Liga,2023-09-27,14:00:00,7,Villarreal,Girona FC,2.05,3.7,3.4,1.03,12.5,1.19,4.4,1.57,2.3,1.29,3.5,1.5,2.5,1.36,1.24,1.75,1.0,2.33,1.42,1.03,2.45,1.57,8.0,2.88,1.32,1.58,2.0,2.55,3.4
Serbia SuperLiga,2023-09-27,14:00:00,9,Partizan,Red Star Belgrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.74,2.37,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany 3. Liga,2023-09-27,14:00:00,9,Borussia Dortmund II,MSV Duisburg,1.95,3.58,3.13,1.04,10.0,1.18,4.5,1.59,2.22,1.26,3.5,1.52,2.46,1.3,1.24,1.8,2.0,0.5,1.54,1.31,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2023-09-27,14:00:00,3,Adana Demirspor,Beşiktaş,2.72,3.63,2.4,1.02,21.0,1.13,5.61,1.56,2.28,1.25,3.75,1.4,2.75,1.57,1.27,1.42,3.0,1.5,1.73,1.1,2.83,2.7,7.0,1.7,1.2,1.33,1.6,2.0,2.7
Spain La Liga,2023-09-27,14:00:00,7,Real Madrid,UD Las Palmas,1.26,6.5,11.0,1.02,16.5,1.14,5.25,1.44,2.8,1.22,4.0,1.91,1.91,1.02,1.1,3.75,3.0,0.0,2.43,1.04,3.47,1.35,8.5,4.1,1.37,1.67,2.1,2.7,3.65
Bulgaria First League,2023-09-27,14:30:00,11,Ludogorets,Lokomotiv Plovdiv,1.35,4.75,8.0,1.02,10.0,1.2,4.2,1.7,2.1,1.3,3.4,2.0,1.73,1.04,1.12,2.8,2.5,3.0,2.69,1.73,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece Super League,2023-09-27,14:30:00,6,Olympiakos Piraeus,Aris,1.4,4.33,8.5,1.02,15.0,1.22,4.2,1.7,2.1,1.33,3.25,1.95,1.8,1.07,1.15,2.95,3.0,0.33,2.25,1.18,3.43,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0
Greece Super League,2023-09-27,14:30:00,6,PAOK,Volos NFC,1.17,7.5,13.0,1.02,15.5,1.16,5.0,1.53,2.35,1.25,3.75,2.2,1.62,1.01,1.08,4.75,2.33,0.5,1.78,0.79,2.57,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-09-27,15:00:00,6,Pogoń Szczecin,Legia Warszawa,2.97,3.22,2.43,1.06,11.5,1.3,3.55,1.88,1.82,1.4,2.83,1.74,2.02,1.4,1.29,1.46,1.5,1.0,1.85,1.31,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2023-09-27,15:00:00,3,Twente,Vitesse,1.67,4.2,4.75,1.01,26.0,1.12,5.87,1.5,2.4,1.24,4.2,1.5,2.55,1.17,1.17,2.45,3.0,1.5,1.77,1.32,3.09,1.7,8.0,2.48,1.15,1.27,1.49,1.82,2.25
